Jahr;Uhr;location;title;temperatur;felt temperature
09.01.2019;9:12 AM;Health Care;jkulis0;51;81
09.02.2019;2:55 AM;n/a;bhains1;53;82
09.06.2019;11:28 PM;Public Utilities;eleithharvey2;73;64
09.01.2019;6:43 AM;Consumer Non-Durables;icastellanos3;29;55
09.02.2019;3:00 PM;Miscellaneous;myanuk4;80;94
09.02.2019;8:05 AM;Consumer Services;kstoeck5;54;42
09.03.2019;12:49 PM;Energy;vserris6;48;85
09.05.2019;1:27 AM;Basic Industries;nwysome7;37;46
09.06.2019;3:06 AM;Public Utilities;aheaysman8;6;94
09.04.2019;3:15 PM;Consumer Services;bharriman9;24;85
